NAMELSAD,population_size
Los Angeles County,"10,098,052"
Riverside County,"2,383,286"
San Diego County,"3,302,833"
Orange County,"3,164,182"
San Bernardino County,"2,135,413"
Alameda County,"1,643,700"
Santa Clara County,"1,922,200"
San Francisco County,"870,044"
Kern County,"883,053"
San Mateo County,"765,935"
Tulare County,"460,477"
Fresno County,"978,130"
Santa Barbara County,"443,738"
Imperial County,"180,216"
Contra Costa County,"1,133,247"
Sacramento County,"1,510,023"
Ventura County,"848,112"
San Joaquin County,"732,212"
Kings County,"150,075"
Stanislaus County,"539,301"
Sonoma County,"501,317"
Solano County,"438,530"
Monterey County,"433,212"
Marin County,"260,295"
Merced County,"269,075"
San Luis Obispo County,"281,455"
Yolo County,"214,977"
Santa Cruz County,"273,765"
Placer County,"380,077"
Napa County,"140,530"
Madera County,"155,013"
Humboldt County,"135,768"
El Dorado County,"186,661"
San Benito County,"59,416"
Del Norte County,"27,424"
Butte County,"227,075"
Sutter County,"95,872"
Nevada County,"99,092"
Shasta County,"179,085"
Mono County,"14,174"
Mendocino County,"87,422"
Yuba County,"75,493"
Lake County,"64,148"
Inyo County,"18,085"
Glenn County,"27,897"
Mariposa County,"17,540"
Calaveras County,"45,235"
Amador County,"37,829"
Siskiyou County,"43,540"
Colusa County,"21,464"
Lassen County,"31,185"
Plumas County,"18,699"
Tehama County,"63,373"
Tuolumne County,"53,932"
Alpine County,"1,146"
Trinity County,"12,862"
Sierra County,"2,930"
Modoc County,"9,686"
